id,company_number,name,method_of_combination,reported_as,functional_currency,hfm_entity_code,hfm_tax_entity,hfm_hv_code,created_at,updated_at,clean_name,tax_id,parent_id
346,41.63,Climate Change Capital Wind Energy Limited,Consolidate,O,100.0,GBP,41021801,CCC_Tax,2017-02-20 17:38:50.534963,2017-02-20 17:38:50.534963,climatechangecapitalwindenergylimited,,
463,,1500,,,,,,,2017-02-20 17:39:16.283538,2017-02-20 17:39:16.283538,1500,,
464,,2700,,,,,,,2017-02-20 17:39:16.638573,2017-02-20 17:39:16.638573,2700,,
347,41.5,Climate Change Capital (Tianjin) Management Limited,Consolidate,O,100.0,CNY,41021801,CCC_Tax,2017-02-20 17:38:50.862996,2017-02-20 17:38:50.862996,climatechangecapitaltianjinmanagementlimited,,
348,72.03,Senwes Grainlink Zambia Ltd.,Consolidate,O,100.0,ZMK,72011312,72011312,2017-02-20 17:38:51.197029,2017-02-20 17:38:51.197029,senwesgrainlinkzambialtd,,
349,22.5,Usina Bom Jardim Açúcar e Álcool Ltda.,Consolidate,O,100.0,BRL,22401600,2240_Tax_L C,2017-02-20 17:38:51.521062,2017-02-20 17:38:51.521062,usinabomjardimacarelcoolltda,,
350,11.81,"Nidus Investment Partners, L.P.",Equity,O,33.0,USD,1177,1177,2017-02-20 17:38:51.854095,2017-02-20 17:38:51.854095,nidusinvestmentpartnerslp,,
351,45.02,Bunge Finance B.V.,Consolidate,F,100.0,EUR,4502,4502,2017-02-20 17:38:52.184128,2017-02-20 17:38:52.184128,bungefinancebv,,
352,4.09,Bunge Investment Management (Cayman) Limited,Consolidate,O,100.0,USD,4091801,4091801,2017-02-20 17:38:52.520162,2017-02-20 17:38:52.520162,bungeinvestmentmanagementcaymanlimited,,
353,45.17,Green Cane Holding B.V.,Consolidate,F,100.0,BRL,22411600,"2241_Tax /
2241_Tax /
2241_Tax_L C",2017-02-20 17:38:52.856195,2017-02-20 17:38:52.856195,greencaneholdingbv,,
355,45.18,Green Cane B.V.,Consolidate,F,100.0,BRL,22411600,"2241_Tax /
2241_Tax_L C",2017-02-20 17:38:53.182228,2017-02-20 17:38:53.182228,greencanebv,,
356,23.15,Bunge Fertilizantes Uruguay S.A,Consolidate,O,100.0,USD,23128131,"2312_BRZ_
Tax",2017-02-20 17:38:53.518261,2017-02-20 17:38:53.518261,bungefertilizantesuruguaysa,,
357,13.07,"Harinera La Espiga, S.A de C.V.",Consolidate,O,31.5,MXN,13003102,1300_Tax_L C,2017-02-20 17:38:53.849294,2017-02-20 17:38:53.849294,harineralaespigasadecv,,
358,54.03,Bunge Trade Polska Sp z.o.o.,Consolidate,O,100.0,PLN,Various,"5403_Tax /
5403_Tax_L C_Tax_LC",2017-02-20 17:38:54.170327,2017-02-20 17:38:54.170327,bungetradepolskaspzoo,,
359,72.06,Southern Africa Regional Carbon Facility Limited,Consolidate,O,100.0,EUR,46101801,46101801,2017-02-20 17:38:54.494359,2017-02-20 17:38:54.494359,southernafricaregionalcarbonfacilitylimited,,
360,72.04,Senwes Grainlink de Mozambique Ltd,Consolidate,O,100.0,MZN,72011313,72011313,2017-02-20 17:38:54.816391,2017-02-20 17:38:54.816391,senwesgrainlinkdemozambiqueltd,,
361,,COMPANY,,,,,,,2017-02-20 17:38:55.135423,2017-02-20 17:38:55.135423,company,,
399,,Amorphic,,,,,,,2017-02-20 17:38:55.466456,2017-02-20 17:38:55.466456,amorphic,,
400,,Baria Serece Vietnam ,,,,,,,2017-02-20 17:38:55.787488,2017-02-20 17:38:55.787488,bariaserecevietnam,,
401,,Bunge,,,,,,,2017-02-20 17:38:56.124522,2017-02-20 17:38:56.124522,bunge,,
402,,"Bunge (Tianjin) Management Services Co., Ltd. ",,,,,,,2017-02-20 17:38:56.443554,2017-02-20 17:38:56.443554,bungetianjinmanagementservicescoltd,,
403,,Bunge Agribusiness India ,,,,,,,2017-02-20 17:38:56.766586,2017-02-20 17:38:56.766586,bungeagribusinessindia,,
404,,Bunge Agribusiness Singapore ,,,,,,,2017-02-20 17:38:57.096619,2017-02-20 17:38:57.096619,bungeagribusinesssingapore,,
405,,Bunge Asia,,,,,,,2017-02-20 17:38:57.454655,2017-02-20 17:38:57.454655,bungeasia,,
406,,Bunge CIS,,,,,,,2017-02-20 17:38:57.784688,2017-02-20 17:38:57.784688,bungecis,,
407,,Bunge Danube Trading,,,,,,,2017-02-20 17:38:58.10372,2017-02-20 17:38:58.10372,bungedanubetrading,,
408,,Bunge East Africa Limited ,,,,,,,2017-02-20 17:38:58.426752,2017-02-20 17:38:58.426752,bungeeastafricalimited,,
409,,Bunge Gida San Tic  A.S. ,,,,,,,2017-02-20 17:38:58.748784,2017-02-20 17:38:58.748784,bungegidasanticas,,
410,,Bunge Global Markets,,,,,,,2017-02-20 17:38:59.070817,2017-02-20 17:38:59.070817,bungeglobalmarkets,,
411,,Bunge Handelsgesellschaft GmbH,,,,,,,2017-02-20 17:38:59.40085,2017-02-20 17:38:59.40085,bungehandelsgesellschaftgmbh,,
412,,Bunge IbÃ©rica S.A.,,,,,,,2017-02-20 17:38:59.724882,2017-02-20 17:38:59.724882,bungeibricasa,,
413,,Bunge London Limited,,,,,,,2017-02-20 17:39:00.045914,2017-02-20 17:39:00.045914,bungelondonlimited,,
414,,Bunge Management Services,,,,,,,2017-02-20 17:39:00.369946,2017-02-20 17:39:00.369946,bungemanagementservices,,
415,,Bunge North America (East),,,,,,,2017-02-20 17:39:00.691979,2017-02-20 17:39:00.691979,bungenorthamericaeast,,
416,,Bunge North America (OPD West),,,,,,,2017-02-20 17:39:01.018011,2017-02-20 17:39:01.018011,bungenorthamericaopdwest,,
417,,"Bunge Sanwei Oil and Fat Co., Ltd. ",,,,,,,2017-02-20 17:39:01.345044,2017-02-20 17:39:01.345044,bungesanweioilandfatcoltd,,
