id,policy_id,user_id,created_at,updated_at,task_id
212,1,47,2017-04-24 13:10:12.389966,2017-04-24 13:10:12.389966,13522
213,1,302,2017-04-24 13:13:06.015848,2017-04-24 13:13:06.015848,13634
214,1,594,2017-04-24 13:19:13.53889,2017-04-24 13:19:13.53889,13709
215,1,240,2017-04-24 13:36:55.365387,2017-04-24 13:36:55.365387,13737
216,1,90,2017-04-24 13:40:11.518437,2017-04-24 13:40:11.518437,13702
217,1,549,2017-04-24 13:40:12.636491,2017-04-24 13:40:12.636491,13552
218,1,219,2017-04-24 13:44:23.973962,2017-04-24 13:44:23.973962,13696
219,1,10246,2017-04-24 14:26:21.197256,2017-04-24 14:26:21.197256,13797
220,1,12364,2017-04-24 14:40:47.990423,2017-04-24 14:40:47.990423,13809
221,1,13535,2017-04-24 15:16:01.719558,2017-04-24 15:16:01.719558,13808
222,1,521,2017-04-24 15:26:30.237871,2017-04-24 15:26:30.237871,13699
223,1,15052,2017-04-24 16:09:19.544435,2017-04-24 16:09:19.544435,13864
224,1,3864,2017-04-24 17:03:58.620688,2017-04-24 17:03:58.620688,13608
225,1,468,2017-04-24 17:09:47.507334,2017-04-24 17:09:47.507334,13562
226,1,678,2017-04-24 17:27:19.989996,2017-04-24 17:27:19.989996,13526
227,1,11004,2017-04-24 17:51:31.296749,2017-04-24 17:51:31.296749,13787
228,1,156,2017-04-24 17:57:35.519975,2017-04-24 17:57:35.519975,13764
229,1,806,2017-04-24 19:37:34.146283,2017-04-24 19:37:34.146283,13544
230,1,1284,2017-04-24 20:29:04.508029,2017-04-24 20:29:04.508029,13676
231,1,433,2017-04-24 20:43:18.949412,2017-04-24 20:43:18.949412,13598
232,1,16938,2017-04-25 00:00:12.970943,2017-04-25 00:00:12.970943,13899
233,1,128,2017-04-25 05:34:09.069201,2017-04-25 05:34:09.069201,13874
234,1,26963,2017-04-25 07:07:15.557235,2017-04-25 07:07:15.557235,13906
235,1,27002,2017-04-25 07:12:54.802975,2017-04-25 07:12:54.802975,13907
236,1,796,2017-04-25 09:02:01.434222,2017-04-25 09:02:01.434222,13749
237,1,576,2017-04-25 09:11:16.772746,2017-04-25 09:11:16.772746,13881
238,1,26765,2017-04-25 09:21:48.352535,2017-04-25 09:21:48.352535,13905
239,1,726,2017-04-25 10:50:47.533767,2017-04-25 10:50:47.533767,13560
240,1,7536,2017-04-25 11:30:15.540567,2017-04-25 11:30:15.540567,13694
241,1,485,2017-04-25 13:11:31.937743,2017-04-25 13:11:31.937743,13576
242,1,27096,2017-04-25 13:12:49.360246,2017-04-25 13:12:49.360246,13909
243,1,11688,2017-04-25 13:26:00.268231,2017-04-25 13:26:00.268231,13588
244,1,139,2017-04-25 13:38:19.227837,2017-04-25 13:38:19.227837,13794
245,1,105,2017-04-25 14:08:07.726975,2017-04-25 14:08:07.726975,13817
246,1,618,2017-04-25 19:04:32.007828,2017-04-25 19:04:32.007828,13607
247,1,265,2017-04-26 07:31:10.593749,2017-04-26 07:31:10.593749,13796
